Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
340,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556
341,Münster Osnabrück Airport,Munster,Germany,FMO,EDDG,52.134601593,7.68483018875
342,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.630401611328,9.9882297515869
344,Cologne Bonn Airport,Cologne,Germany,CGN,EDDK,50.8658981323,7.1427397728
345,Düsseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.76678
346,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861
347,Nuremberg Airport,Nuernberg,Germany,NUE,EDDN,49.498699,11.078056
348,Leipzig/Halle Airport,Leipzig,Germany,LEJ,EDDP,51.423889,12.236389
349,Saarbrücken Airport,Saarbruecken,Germany,SCN,EDDR,49.2145996094,7.10950994492
350,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.6898994446,9.22196006775
351,Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.5597,13.2877
352,Hannover Airport,Hannover,Germany,HAJ,EDDV,52.461101532,9.68507957458
353,Bremen Airport,Bremen,Germany,BRE,EDDW,53.0475006104,8.78666973114
355,Frankfurt-Hahn Airport,Hahn,Germany,HHN,EDFH,49.9487,7.26389
356,Mannheim-City Airport,Mannheim,Germany,MHG,EDFM,49.473057,8.514167
362,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,EDHI,53.5352783203125,9.835556030273438
364,Lübeck Blankensee Airport,Luebeck,Germany,LBC,EDHL,53.8054008484,10.7192001343
371,Paderborn Lippstadt Airport,Paderborn,Germany,PAD,EDLP,51.6141014099,8.616319656369999
373,Dortmund Airport,Dortmund,Germany,DTM,EDLW,51.51829910279999,7.61223983765
374,Augsburg Airport,Augsburg,Germany,AGB,EDMA,48.425278,10.931667
382,Friedrichshafen Airport,Friedrichshafen,Germany,FDH,EDNY,47.6712989807,9.51148986816
393,Zweibrücken Airport,Zweibruecken,Germany,ZQW,EDRZ,49.2094,7.40056
400,Kassel-Calden Airport,Kassel,Germany,KSF,EDVK,51.417273,9.384967
410,Westerland Sylt Airport,Westerland,Germany,GWT,EDXW,54.9132003784,8.34047031403
413,Kuressaare Airport,Kuressaare,Estonia,URE,EEKE,58.22990036010742,22.50950050354004
